blacklisted_by_me;can_see_all_posts;can_send_friend_request;city;faculty;graduation;has_photo;relation;wall_comments;universities_country;universities_graduation;universities_faculty;personal_lang_Русский;personal_lang_English;personal_alcohol;personal_people_main;personal_smoking;personal_lang_Романи;personal_lang_Italiano;school_city;school_country;school_type;school_year_graduated;career_city_id;career_group_id;career_until;uid;uid;uid
0.0;1.0;1.0;610.0;0.0;2006.0;0;0.0;1.0;3.0;2006.0;;0.0;0.0;;;;0.0;0.0;610.0;0.0;1.0;2001.0;;;;26321178;26321178;26321178
0.0;0.0;1.0;1.0;0.0;0.0;1;0.0;1.0;;;;1.0;1.0;;;;0.0;0.0;1.0;1.0;;;;;;282343969;282343969;282343969
0.0;1.0;1.0;392.0;0.0;0.0;1;4.0;1.0;;;;0.0;0.0;;;;0.0;0.0;392.0;3.0;;2005.0;;;;166935847;166935847;166935847
0.0;0.0;1.0;151.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;13955970;13955970;13955970
0.0;1.0;1.0;2086.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;2086.0;1.0;;2019.0;;;;344820263;344820263;344820263
0.0;1.0;1.0;284.0;0.0;0.0;1;6.0;1.0;;;;0.0;0.0;;;;0.0;0.0;284.0;4.0;13.0;2021.0;;;;237909561;237909561;237909561
0.0;0.0;1.0;1.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;102725951;102725951;102725951
0.0;1.0;1.0;151.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;64493273;64493273;64493273
0.0;1.0;1.0;1.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1.0;1.0;;1995.0;;;;229142258;229142258;229142258
0.0;1.0;1.0;1496.0;0.0;0.0;1;1.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1496.0;1.0;;;;;;296625301;296625301;296625301
0.0;1.0;1.0;2131.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;2131.0;4.0;;2020.0;;;;277112329;277112329;277112329
0.0;1.0;1.0;1.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1.0;1.0;;;;;;78372316;78372316;78372316
0.0;1.0;1.0;158.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;158.0;1.0;;1975.0;;;;213777193;213777193;213777193
0.0;1.0;1.0;280.0;0.0;0.0;1;1.0;1.0;;;;0.0;0.0;2.0;;;0.0;0.0;280.0;2.0;;;;;;220968215;220968215;220968215
0.0;1.0;1.0;1.0;0.0;0.0;0;0.0;1.0;1.0;;;0.0;0.0;;;;0.0;0.0;314.0;2.0;;;;;;72034582;72034582;72034582
0.0;1.0;1.0;13000.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;13000.0;2.0;;;;;;68031269;68031269;68031269
0.0;1.0;1.0;12269.0;0.0;0.0;0;1.0;1.0;;;;0.0;0.0;;;;0.0;0.0;22.0;1.0;;;;;;97469324;97469324;97469324
0.0;1.0;1.0;1.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1.0;1.0;;;;;;221561186;221561186;221561186
0.0;1.0;1.0;116.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;116.0;1.0;;;;;;113573524;113573524;113573524
0.0;1.0;1.0;1.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1.0;1.0;2.0;2010.0;;;;166780071;166780071;166780071
0.0;1.0;1.0;1469.0;2096194.0;0.0;1;4.0;1.0;1.0;;2096194.0;0.0;0.0;;;;0.0;0.0;1469.0;1.0;;;;;;108083734;108083734;108083734
0.0;1.0;1.0;1508221.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1508221.0;0.0;;;;;;25483679;25483679;25483679
0.0;1.0;1.0;13112.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;13112.0;1.0;;;;;;111582873;111582873;111582873
0.0;1.0;1.0;223.0;2018154.0;1984.0;1;0.0;1.0;2.0;1984.0;2018154.0;0.0;0.0;;;;0.0;0.0;;;;;;;;368172462;368172462;368172462
0.0;1.0;1.0;42.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;42.0;1.0;7.0;;;;;196018990;196018990;196018990
0.0;0.0;1.0;141.0;;;1;;0.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;227557500;227557500;227557500
0.0;1.0;1.0;56.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;56.0;1.0;7.0;2011.0;;;;218652965;218652965;218652965
0.0;1.0;1.0;41.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;41.0;1.0;;;;;;79085506;79085506;79085506
0.0;1.0;1.0;161.0;0.0;0.0;1;5.0;1.0;;;;0.0;0.0;;;;0.0;0.0;161.0;1.0;;;;;;345917194;345917194;345917194
0.0;0.0;1.0;280.0;0.0;0.0;1;0.0;0.0;;;;0.0;0.0;;;;0.0;0.0;280.0;2.0;;;;;;282894063;282894063;282894063
0.0;0.0;1.0;5974.0;;;1;;0.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;147028316;147028316;147028316
0.0;0.0;1.0;0.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;5506411;5506411;5506411
0.0;1.0;1.0;762.0;222310.0;1990.0;1;0.0;1.0;6.0;1990.0;222310.0;0.0;0.0;;;;0.0;0.0;;;;;;;;363891309;363891309;363891309
0.0;1.0;1.0;49.0;18777.0;0.0;0;0.0;1.0;1.0;;18777.0;0.0;0.0;;;;0.0;0.0;;;;;;;;56137059;56137059;56137059
0.0;1.0;1.0;223.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;223.0;2.0;2.0;;;;;106346249;106346249;106346249
0.0;0.0;1.0;93.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;68891299;68891299;68891299
0.0;0.0;1.0;392.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;23589112;23589112;23589112
0.0;1.0;1.0;3255.0;0.0;0.0;1;0.0;1.0;;;;1.0;1.0;4.0;6.0;4.0;0.0;0.0;3255.0;1.0;;2018.0;;;;176804374;176804374;176804374
0.0;1.0;1.0;1449.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1449.0;1.0;;2020.0;;;;220648419;220648419;220648419
0.0;1.0;1.0;0.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;124.0;1.0;;2017.0;;;;204058573;204058573;204058573
0.0;1.0;1.0;0.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;14422.0;1.0;;2018.0;;;;320401394;320401394;320401394
0.0;0.0;1.0;66.0;14301.0;2008.0;1;0.0;1.0;1.0;2008.0;14301.0;0.0;0.0;;;;0.0;0.0;66.0;1.0;;;;;;124260335;124260335;124260335
0.0;1.0;1.0;134.0;2775.0;2015.0;0;0.0;1.0;1.0;2015.0;2775.0;0.0;0.0;;;;0.0;0.0;134.0;1.0;2.0;2011.0;;;;166778507;166778507;166778507
0.0;1.0;1.0;0.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;223.0;2.0;13.0;2016.0;;;;73902020;73902020;73902020
0.0;1.0;1.0;140.0;177758.0;0.0;1;3.0;1.0;1.0;;177758.0;0.0;0.0;;;;0.0;0.0;140.0;1.0;;;;;;245727917;245727917;245727917
0.0;0.0;1.0;1158.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;17270385;17270385;17270385
0.0;1.0;1.0;467.0;61445.0;2011.0;1;0.0;1.0;3.0;2011.0;61445.0;0.0;0.0;;;;0.0;0.0;467.0;3.0;;2006.0;;;;21906580;21906580;21906580
0.0;1.0;1.0;2.0;333.0;2007.0;1;0.0;1.0;1.0;2007.0;333.0;0.0;0.0;;;;0.0;0.0;2.0;1.0;;;;;;313317725;313317725;313317725
0.0;1.0;1.0;1223.0;0.0;0.0;0;1.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1223.0;15.0;1.0;1993.0;;;;168171554;168171554;168171554
0.0;1.0;1.0;147.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;147.0;1.0;;1980.0;;;;169143297;169143297;169143297
0.0;0.0;0.0;0.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;34033733;34033733;34033733
0.0;0.0;1.0;0.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;216486040;216486040;216486040
0.0;1.0;1.0;1936315.0;313466.0;1997.0;1;4.0;1.0;207.0;1997.0;313466.0;0.0;1.0;5.0;2.0;2.0;0.0;0.0;1970123.0;207.0;;1991.0;;;;357985529;357985529;357985529
0.0;1.0;1.0;110.0;41172.0;2010.0;1;0.0;1.0;1.0;2010.0;41172.0;0.0;0.0;;;;0.0;0.0;110.0;1.0;;2000.0;;;;260508832;260508832;260508832
0.0;0.0;1.0;49.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;137039184;137039184;137039184
0.0;1.0;1.0;97.0;0.0;0.0;1;6.0;1.0;;;;0.0;0.0;;;;0.0;0.0;97.0;1.0;;2015.0;;;;82728097;82728097;82728097
0.0;1.0;1.0;204.0;663006.0;2021.0;0;0.0;1.0;11.0;2021.0;663006.0;0.0;0.0;;;;0.0;0.0;204.0;11.0;5.0;2022.0;;;;313063238;313063238;313063238
0.0;1.0;1.0;1161175.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1161175.0;1.0;;1993.0;;;;193738398;193738398;193738398
0.0;1.0;1.0;3092.0;33644.0;2017.0;1;0.0;1.0;2.0;2017.0;33644.0;0.0;0.0;;;;0.0;0.0;3092.0;2.0;;2018.0;;;;140243831;140243831;140243831
0.0;1.0;1.0;2642.0;267572.0;1987.0;1;1.0;1.0;2.0;1987.0;267572.0;0.0;0.0;;;;0.0;0.0;5089.0;2.0;1.0;1980.0;;;;25730974;25730974;25730974
0.0;0.0;1.0;114.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;55866080;55866080;55866080
0.0;1.0;1.0;19977.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;19977.0;1.0;;2018.0;;;;186733860;186733860;186733860
0.0;1.0;1.0;161.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;161.0;1.0;;2018.0;;;;232502811;232502811;232502811
0.0;1.0;1.0;2.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;4505099;4505099;4505099
0.0;1.0;1.0;1463.0;0.0;0.0;1;4.0;1.0;;;;1.0;1.0;3.0;1.0;2.0;0.0;0.0;1463.0;1.0;;;1.0;149599171.0;;309828292;309828292;309828292
0.0;1.0;1.0;1152023.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;2.0;2.0;2.0;0.0;0.0;10833.0;1.0;;1989.0;;;;86577892;86577892;86577892
0.0;1.0;1.0;1.0;26.0;1978.0;1;0.0;1.0;1.0;1978.0;26.0;0.0;0.0;;;;0.0;0.0;1.0;1.0;;1975.0;;;;354637378;354637378;354637378
0.0;1.0;1.0;1.0;0.0;0.0;1;1.0;1.0;1.0;;;0.0;0.0;4.0;6.0;5.0;0.0;0.0;16503.0;1.0;1.0;2011.0;42.0;;;139627373;139627373;139627373
0.0;1.0;1.0;17578.0;2238014.0;2015.0;1;0.0;1.0;221.0;2015.0;2238014.0;0.0;0.0;;;;0.0;0.0;17578.0;221.0;;2012.0;;;;356081321;356081321;356081321
0.0;0.0;1.0;2.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;941901;941901;941901
0.0;1.0;1.0;119.0;0.0;0.0;0;0.0;1.0;1.0;;;0.0;0.0;;;;0.0;0.0;1079800.0;1.0;;2011.0;;;;183835499;183835499;183835499
0.0;0.0;1.0;4591.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;260777986;260777986;260777986
0.0;1.0;1.0;148.0;24643.0;0.0;1;3.0;1.0;1.0;;24643.0;0.0;0.0;4.0;6.0;4.0;0.0;0.0;148.0;1.0;;2020.0;148.0;;1955.0;203717727;203717727;203717727
0.0;1.0;1.0;4834.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;4834.0;1.0;;2019.0;;;;316264540;316264540;316264540
0.0;1.0;1.0;1515878.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1937246.0;16.0;;;;;;134718040;134718040;134718040
0.0;1.0;1.0;49.0;0.0;1994.0;1;0.0;1.0;1.0;1994.0;;0.0;0.0;;;;0.0;0.0;1004925.0;1.0;;1977.0;;;;197950217;197950217;197950217
0.0;1.0;1.0;1.0;0.0;0.0;1;0.0;1.0;1.0;;;0.0;0.0;;;;0.0;0.0;;;;;;;;184558763;184558763;184558763
0.0;1.0;1.0;5115.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;5115.0;1.0;;;;;;174505241;174505241;174505241
0.0;0.0;1.0;1505348.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;87837740;87837740;87837740
0.0;1.0;1.0;73.0;0.0;0.0;1;0.0;1.0;;;;1.0;1.0;1.0;5.0;1.0;0.0;0.0;73.0;1.0;;;;;;181537272;181537272;181537272
0.0;1.0;1.0;1965294.0;2153461.0;2005.0;0;6.0;1.0;7.0;2005.0;2153461.0;0.0;0.0;;;;0.0;0.0;1965294.0;7.0;3.0;2000.0;;;;314178353;314178353;314178353
0.0;1.0;1.0;3170.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;3170.0;2.0;;;;;;187860578;187860578;187860578
0.0;1.0;1.0;10.0;9131.0;0.0;1;0.0;1.0;1.0;;9131.0;0.0;0.0;;;;0.0;0.0;;;;;;;;161983775;161983775;161983775
0.0;1.0;1.0;21657.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;21657.0;4.0;;2009.0;;;;242985101;242985101;242985101
0.0;1.0;1.0;20.0;0.0;2008.0;0;4.0;1.0;1.0;2008.0;;0.0;0.0;;;;0.0;0.0;;;;;;;;141566871;141566871;141566871
0.0;0.0;1.0;88.0;313024.0;2015.0;1;6.0;1.0;1.0;2015.0;313024.0;0.0;0.0;;;;0.0;0.0;88.0;1.0;;2003.0;88.0;;;4676211;4676211;4676211
0.0;1.0;1.0;2.0;0.0;0.0;1;6.0;1.0;;;;0.0;0.0;;;;0.0;0.0;5.0;1.0;;2009.0;;;;107439931;107439931;107439931
0.0;1.0;1.0;552.0;0.0;0.0;1;1.0;1.0;;;;0.0;0.0;;;;0.0;0.0;552.0;2.0;;2015.0;;;;209733849;209733849;209733849
0.0;1.0;1.0;1.0;0.0;1989.0;1;0.0;1.0;1.0;1989.0;;0.0;0.0;;;;0.0;0.0;263.0;65.0;;1984.0;;;;47533033;47533033;47533033
0.0;1.0;1.0;151.0;0.0;0.0;1;2.0;1.0;1.0;;;1.0;1.0;;;;0.0;0.0;151.0;1.0;1.0;;151.0;;;179353443;179353443;179353443
0.0;0.0;1.0;0.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;258097351;258097351;258097351
0.0;0.0;1.0;314.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;75734353;75734353;75734353
0.0;1.0;1.0;1517642.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1702304.0;4.0;;;;;;200008178;200008178;200008178
0.0;1.0;1.0;1581.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1581.0;2.0;;;;;;203237624;203237624;203237624
0.0;1.0;1.0;2510.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;223.0;2.0;;;;;;330625189;330625189;330625189
0.0;1.0;1.0;627.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;627.0;2.0;;;;;;268815965;268815965;268815965
0.0;1.0;1.0;2368.0;0.0;0.0;1;1.0;1.0;;;;0.0;0.0;;;;0.0;0.0;2368.0;4.0;;;2368.0;65907873.0;;270233312;270233312;270233312
0.0;1.0;1.0;73.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;73.0;1.0;;2016.0;;;;110251119;110251119;110251119
0.0;1.0;1.0;0.0;0.0;0.0;1;1.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1949250.0;11.0;;2010.0;;;;93974529;93974529;93974529
0.0;1.0;1.0;1710959.0;141968.0;2017.0;0;0.0;1.0;15.0;2017.0;141968.0;0.0;0.0;;;;0.0;0.0;1710959.0;15.0;1.0;2018.0;;;;228674337;228674337;228674337
0.0;1.0;1.0;49.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;25250925;25250925;25250925
0.0;1.0;1.0;2980.0;3184.0;0.0;1;1.0;1.0;1.0;;3184.0;0.0;0.0;;;;0.0;0.0;2980.0;1.0;;2012.0;;;;155825756;155825756;155825756
0.0;1.0;1.0;7094.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;7094.0;4.0;;2017.0;;;;222142579;222142579;222142579
0.0;0.0;1.0;158.0;;;1;;0.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;33446478;33446478;33446478
0.0;1.0;1.0;314.0;;;0;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;30917102;30917102;30917102
0.0;1.0;1.0;276.0;207627.0;1997.0;1;0.0;1.0;2.0;1997.0;207627.0;0.0;0.0;;;;0.0;0.0;3004.0;2.0;;1992.0;;;;162343319;162343319;162343319
0.0;1.0;1.0;94.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;94.0;1.0;;;;;;353733595;353733595;353733595
0.0;1.0;1.0;25.0;3248.0;2005.0;1;0.0;1.0;1.0;2005.0;3248.0;0.0;0.0;4.0;;4.0;0.0;0.0;1312.0;1.0;;2000.0;;;;56636062;56636062;56636062
0.0;1.0;1.0;1713629.0;0.0;0.0;1;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1713629.0;12.0;;1986.0;;;;239708675;239708675;239708675
0.0;1.0;1.0;916.0;0.0;0.0;1;7.0;1.0;;;;0.0;0.0;;;;0.0;0.0;916.0;2.0;;;;;;177307784;177307784;177307784
0.0;1.0;1.0;1135.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1135.0;1.0;;1989.0;;;;189726502;189726502;189726502
0.0;0.0;1.0;37.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;269451948;269451948;269451948
0.0;1.0;1.0;314.0;150476.0;1996.0;1;4.0;1.0;2.0;1996.0;150476.0;0.0;0.0;;;;0.0;0.0;;;;;;;;238492108;238492108;238492108
0.0;0.0;1.0;1.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;179748398;179748398;179748398
0.0;1.0;1.0;1.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1.0;1.0;;2002.0;;;;342851606;342851606;342851606
0.0;1.0;1.0;628.0;1313417.0;2016.0;1;0.0;1.0;2.0;2016.0;1313417.0;0.0;0.0;;;;0.0;0.0;628.0;2.0;;2016.0;;;;76479666;76479666;76479666
0.0;1.0;1.0;292.0;41758.0;1984.0;1;4.0;1.0;2.0;1984.0;41758.0;0.0;0.0;;;;0.0;0.0;;;;;;;;82588324;82588324;82588324
0.0;0.0;1.0;14.0;;;0;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;261163449;261163449;261163449
0.0;1.0;1.0;1.0;1159.0;1974.0;1;0.0;0.0;1.0;1974.0;1159.0;0.0;0.0;;;;0.0;0.0;1.0;1.0;;1969.0;1.0;;1992.0;10251892;10251892;10251892
0.0;1.0;1.0;282.0;27395.0;0.0;1;1.0;1.0;3.0;;27395.0;0.0;0.0;2.0;2.0;1.0;0.0;0.0;282.0;3.0;;;;;;174648551;174648551;174648551
0.0;0.0;1.0;185.0;;;1;;1.0;;;;0.0;0.0;;;;0.0;0.0;;;;;;;;157911758;157911758;157911758
0.0;1.0;1.0;1.0;0.0;0.0;0;0.0;1.0;;;;0.0;0.0;;;;0.0;0.0;1.0;1.0;2.0;1988.0;;;;270913517;270913517;270913517
